               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,             0.69775,             0.33033,              1.4875,             0.99604,             0.99195,             0.99487,             0.90278,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.69213,             0.32678,              1.4718,             0.99603,             0.99176,             0.99495,             0.89928,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.68918,             0.32212,              1.4585,             0.99467,             0.99013,              0.9949,             0.89937,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.68039,             0.31933,              1.4643,             0.99702,             0.98992,             0.99495,             0.90318,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,              0.6765,             0.31738,              1.4603,             0.99604,             0.99252,             0.99489,             0.90235,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.86725,             0.55153,              1.5473,             0.99335,             0.99112,             0.99468,             0.89394,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.85699,             0.52621,               1.537,             0.99591,             0.99013,             0.99475,             0.89171,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.84993,             0.52119,              1.5305,             0.99504,              0.9904,             0.99475,             0.89664,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.84474,             0.51166,              1.5249,             0.99685,             0.99013,              0.9948,             0.89811,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,              0.8378,             0.50739,              1.5231,             0.99702,             0.99222,             0.99479,             0.89432,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
